CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_Book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
CID-03143,Existing,44,M,3,Unknown,Unknown,$40K - $60K,Gold,30,1,2,0,6385.5,2175,2585.3569226524946,0.7635130250724379,3076,42,1.4339526392686808,0.04856544239412087
CID-03144,Existing,54,F,5,College,Married,Less than $40K,Blue,20,5,2,6,3411.1,944,4131.190930364858,0.6229642078588369,4749,28,2.386285312205109,0.28950808324588273
CID-03145,Existing,65,F,1,Doctorate,Married,$40K - $60K,Silver,51,5,2,2,2351.0,1104,1249.295312928377,1.7654557783604639,2813,17,0.6693600047379091,0.661088538326283
CID-03146,Existing,29,F,1,College,Single,$80K - $120K,Blue,12,3,1,4,4420.5,1775,2220.190006796683,1.4735633887804949,2912,99,3.163743682067755,0.03723162081904257
CID-03147,Attrited,40,M,5,Post-Graduate,Single,$40K - $60K,Blue,57,3,2,6,6384.0,496,5316.672222778472,1.6575048486041095,5952,49,1.3532743044832916,0.30409149675512864
CID-03148,Existing,51,F,1,High School,Divorced,Unknown,Blue,20,3,1,4,2759.3999999999996,2192,2646.1395307463968,1.478022376018014,6042,94,2.0826563620824974,0.09539901939848054
CID-03149,Existing,55,M,4,Post-Graduate,Divorced,Unknown,Silver,50,5,5,2,1260.0,2617,0.0,0.8489490720109659,5729,69,2.423660370926698,0.03335795534953246
CID-03150,Existing,40,M,0,College,Single,Unknown,Blue,21,2,4,5,4071.0,1442,3255.552177724276,3.1682359302282967,1204,51,2.62510241101177,0.08187937091036473
CID-03151,Existing,42,M,1,Graduate,Divorced,$80K - $120K,Gold,54,1,1,3,9218.25,1483,2494.212869291827,0.5130502329112172,68,99,3.2912554290717617,0.4097612753076251
CID-03152,Existing,21,M,4,High School,Married,Less than $40K,Gold,25,6,3,5,5494.65,-713,4874.522109848388,0.8965550937945048,3139,57,1.057544460994022,0.39205773431280777
CID-03153,Existing,47,F,2,Post-Graduate,Single,$120K +,Blue,57,2,2,2,8488.5,1443,4775.496220543049,1.1944156146813665,4063,53,1.6418336686584851,0.5014872129022775
CID-03154,Existing,47,M,0,High School,Single,$60K - $80K,Blue,51,4,4,2,6129.0,1238,5316.969906932529,1.7563998526755134,2415,56,0.7746560266702466,0.24656069484958945
CID-03155,Existing,30,M,5,High School,Married,$40K - $60K,Blue,36,2,0,3,4388.0,466,3946.0502476540173,0.9885037476069722,7522,49,2.8884034142693684,0.5361278915927541
CID-03156,Existing,59,M,2,High School,Married,Unknown,Silver,30,4,3,4,4543.0,2275,3304.6517192660413,1.649542378650859,4158,70,1.5161805908122927,0.5776621291296422
CID-03157,Attrited,66,M,3,High School,Divorced,Less than $40K,Blue,28,4,3,3,1756.3,159,1847.790987054303,0.7122938226595371,4367,19,1.2733783231238665,0.7287667334646405
CID-03158,Existing,31,F,3,Post-Graduate,Single,Unknown,Blue,29,1,5,6,3952.0,2141,3108.0574642248553,1.934648757249535,3685,23,1.5673035105317956,0.33061749187055384
CID-03159,Existing,64,M,0,Unknown,Married,$120K +,Blue,57,1,5,4,4867.5,1279,2553.3800215148012,2.413004849710023,4787,26,1.739239157500435,0.7145700218106399
CID-03160,Existing,25,F,1,Doctorate,Single,Unknown,Blue,51,6,0,2,6087.0,2918,5142.945879730222,3.0121245361286704,6766,48,1.1280015576723086,0.8199785321587442
CID-03161,Existing,41,F,0,Uneducated,Single,$60K - $80K,Gold,20,4,2,2,14185.5,2946,8734.814615819287,2.5693747189967535,794,20,1.4607674430903117,0.5814721338279496
CID-03162,Existing,35,F,1,High School,Single,$40K - $60K,Blue,12,5,5,3,5771.0,2254,5355.237309094785,1.1970560491039075,6291,75,1.0956054349530107,0.3336959648249886
CID-03163,Existing,52,F,5,High School,Divorced,$120K +,Blue,17,4,5,2,10941.0,2727,5612.634045994673,2.4053682153004345,4994,44,1.7240029918318207,0.19027093287273145
CID-03164,Existing,42,M,3,Graduate,Married,$40K - $60K,Blue,49,3,1,5,6459.0,1790,4777.86808532846,1.2456907298750342,5087,89,2.3114860897180933,0.1397299396328736
CID-03165,Existing,34,F,0,Unknown,Single,Less than $40K,Blue,49,1,0,1,1425.8999999999999,3020,726.0695738223512,2.135922971429821,6687,73,3.083742095122508,0.12426914791223306
CID-03166,Existing,49,F,0,Post-Graduate,Married,$40K - $60K,Blue,50,2,2,1,5029.0,1199,3049.001386118249,2.5869373128879083,4359,84,2.306296886434369,0.036404684122958206
CID-03167,Attrited,41,F,5,Graduate,Married,$40K - $60K,Blue,28,1,2,5,2707.0,2115,1097.5988042368149,1.8093508427380187,-155,36,2.613654319339513,0.7323305336321073
CID-03168,Existing,24,F,1,High School,Unknown,Unknown,Blue,20,5,1,3,1941.0,1749,525.8890846983359,0.9296960039120368,7457,79,0.9494954167609455,0.8103028332960736
CID-03169,Existing,30,F,3,High School,Divorced,Unknown,Blue,22,3,3,2,6988.0,1933,6430.663851352252,0.8718347874814705,2558,92,3.2654804444008887,0.25439143151351706
CID-03170,Existing,44,F,3,Graduate,Divorced,$40K - $60K,Blue,29,6,1,2,7961.0,915,7556.761159318627,1.3976213880805037,2197,26,2.9727382593122695,0.6755951994434933
CID-03171,Existing,65,F,1,Post-Graduate,Married,Less than $40K,Blue,56,5,2,2,700.0,1110,0.0,1.2637011804797789,6420,90,3.0871213870504857,0.3166130583823613
CID-03172,Existing,22,M,5,High School,Unknown,$60K - $80K,Silver,57,2,4,5,3745.0,1509,2676.4464624961765,0.7153739920375419,5637,60,1.3730076288781294,0.1959548256854757
CID-03173,Existing,53,M,1,Uneducated,Married,$120K +,Blue,48,1,3,0,7992.0,1561,5257.431732819202,0.6790498287404211,4857,25,2.146402638662985,0.06526741226108776
CID-03174,Existing,43,M,5,Unknown,Single,$40K - $60K,Blue,18,2,4,3,4238.0,1984,3612.30246547101,0.8506109718822664,1924,82,0.9544139928122511,0.6195693995896754
CID-03175,Existing,59,M,1,Uneducated,Married,$60K - $80K,Blue,46,3,1,0,5362.0,1804,4051.4373481622324,2.8068841831191484,3874,47,3.0645032560598535,0.2651885229713439
CID-03176,Existing,62,F,3,Unknown,Single,$40K - $60K,Gold,55,2,0,1,7924.5,907,4971.058822727228,2.918381776585005,6689,38,3.4194473555706604,0.4234404056555363
CID-03177,Existing,48,F,3,High School,Divorced,$40K - $60K,Blue,18,4,4,1,5709.0,853,4321.182567127773,2.926738847865848,137,32,2.373993167263628,0.06757778697638299
CID-03178,Attrited,27,F,0,Unknown,Married,$120K +,Blue,50,3,4,4,9952.5,1549,5823.996310527206,0.7184031426683325,6560,66,1.3394561348174294,0.5447327643400485
CID-03179,Existing,63,F,5,Graduate,Single,$60K - $80K,Gold,22,5,4,6,9184.5,1433,5111.52874257727,1.0498008203359885,4876,49,2.154928876357096,0.469432225792468
CID-03180,Existing,43,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,2,1,4366.0,-602,3696.2160983401545,0.6930107992188229,2342,50,1.9760032459490233,0.22165749821868277
CID-03181,Existing,39,F,5,High School,Married,$120K +,Silver,45,6,3,2,10402.5,1603,5621.59720111269,1.3129387233519898,8401,25,1.679624977041009,0.02612334805230998
CID-03182,Existing,29,M,5,Graduate,Divorced,$120K +,Blue,35,2,1,4,2035.5,1832,0.0,2.394569282389117,1504,69,1.0852392368325088,0.3432726237452537
CID-03183,Existing,49,M,2,High School,Married,$40K - $60K,Silver,23,3,2,8,6966.0,2084,6002.46331733611,2.5349282839254306,2112,31,1.4363798706397042,0.2793134902974497
CID-03184,Existing,44,M,2,High School,Married,$60K - $80K,Blue,20,2,3,3,4699.0,1697,3407.4308986107512,1.442026497238904,2339,49,3.3134772428580264,0.10027217401482717
CID-03185,Existing,50,F,1,Unknown,Single,$120K +,Platinum,33,4,1,3,10011.0,1452,2512.2836020447626,2.997931939957471,352,26,1.7598638726819713,0.6103801549087049
CID-03186,Existing,69,M,5,Uneducated,Married,Unknown,Silver,49,3,4,2,2617.0,1285,567.158270292924,0.936962285613576,5267,74,1.0566069277978927,0.6076868858893761
CID-03187,Existing,37,F,1,Graduate,Single,$80K - $120K,Blue,57,1,0,2,10735.5,3264,6456.348054650161,0.7138906207601873,2405,99,2.0234748491980366,0.46491466289854944
CID-03188,Existing,56,M,1,Graduate,Single,$40K - $60K,Silver,43,5,2,5,4439.0,1069,3354.0133929248204,2.4481553441226596,2246,72,0.7160452686887391,0.2258452008040557
CID-03189,Existing,58,M,0,Post-Graduate,Married,Less than $40K,Gold,19,2,1,4,2816.1,1402,1223.9237507780551,0.6275303000927095,3320,36,1.7066364570018089,0.08900721616282892
CID-03190,Existing,57,M,2,College,Married,$40K - $60K,Blue,59,4,3,2,3006.0,1126,1569.9979940185,1.8017109887396972,4337,45,2.54148076107307,0.32222521514680325
CID-03191,Existing,30,M,2,Doctorate,Unknown,$60K - $80K,Gold,32,5,0,5,6061.5,617,3883.630634711668,1.7828262908926003,3857,85,1.291667238805227,0.6868099431337745
CID-03192,Attrited,31,F,3,Graduate,Married,$40K - $60K,Blue,27,3,1,4,7527.0,1976,6599.294680860074,1.3208928374459716,2904,50,0.5596029369661504,0.22585686235759608
CID-03193,Attrited,61,M,2,Graduate,Married,$120K +,Blue,44,6,2,5,9943.5,624,5531.693970894674,1.4080790837959545,6532,14,1.9580638978093887,0.8267162296985167
CID-03194,Existing,57,F,3,Unknown,Divorced,$60K - $80K,Blue,53,5,3,3,5715.0,1662,5197.732791720609,3.1198729199280955,2971,69,2.6842410163298007,0.4074708251290755
CID-03195,Existing,39,F,5,Graduate,Divorced,$80K - $120K,Silver,36,5,5,5,6904.5,2210,3900.6648411020055,0.9781821690870212,3745,72,2.37842360722143,0.15781774098663187
CID-03196,Existing,35,F,0,Graduate,Married,$80K - $120K,Platinum,50,1,1,1,5847.0,792,243.2375706198859,3.272948738399515,6474,68,0.898910657839513,0.23508900722066348
CID-03197,Attrited,65,M,1,Unknown,Married,$60K - $80K,Silver,17,1,5,4,10518.0,836,9985.390096854719,1.9785459657156494,2656,12,3.023936492286501,0.48689673877455025
CID-03198,Attrited,46,F,1,Unknown,Divorced,$120K +,Blue,15,4,1,4,5917.5,2683,3666.8677840128357,3.4036560728576406,2110,18,2.4462504616457776,0.12562049734071604
CID-03199,Existing,60,M,5,Unknown,Married,$120K +,Gold,34,4,0,3,8588.25,2600,1767.5875984378308,0.5921427508605395,3238,69,2.0032388820406677,0.08064279860655126
CID-03200,Existing,33,M,3,Graduate,Married,$40K - $60K,Blue,20,6,1,4,5081.0,1304,3790.9530249083227,0.8336289727164545,4519,84,2.6104452822895885,0.48649820954112943
CID-03201,Existing,63,M,4,College,Single,Less than $40K,Blue,47,2,4,3,5814.2,2144,7673.459365945722,1.217451821535902,5774,77,2.801927731108276,0.5042948401930619
CID-03202,Existing,52,F,5,College,Married,Unknown,Blue,22,6,1,2,5153.0,1576,3446.019168076429,0.5576906394833249,3959,83,3.0740706014952477,0.004559914857106378
CID-03203,Existing,51,M,3,High School,Single,$80K - $120K,Platinum,46,1,3,2,13248.0,-878,3489.910628779062,2.6380761486875572,-207,53,0.5131313653496687,0.6702633240837182
CID-03204,Attrited,20,M,5,Post-Graduate,Single,$80K - $120K,Blue,23,6,1,2,1830.0,3233,118.71609714822716,2.5435377685567957,3647,67,3.091683884876607,0.7193665646404501
CID-03205,Existing,21,M,0,College,Divorced,$120K +,Blue,46,3,2,5,6607.5,1359,3754.2357057704116,3.274402897668707,5587,15,3.0636843303133054,0.6493491017644071
CID-03206,Existing,22,M,5,Graduate,Married,$80K - $120K,Blue,18,6,5,5,7561.5,2266,2710.897182058705,2.3376975177041395,5011,46,3.4822997927417205,0.8018126232085818
CID-03207,Attrited,27,M,5,Unknown,Married,$60K - $80K,Blue,40,2,2,4,3468.0,3040,1700.202534358289,1.216958170797849,2449,14,2.052966085355339,0.561390947219602
CID-03208,Existing,69,F,2,Unknown,Married,Unknown,Blue,32,3,5,2,5870.0,1640,5312.690680515254,1.8209862302692335,1847,71,1.4309865262694035,0.08392633820788918
CID-03209,Existing,46,M,3,High School,Single,$80K - $120K,Blue,14,1,2,2,5319.0,2289,2633.731398276433,1.99826830681346,4149,37,1.4903324192694067,0.47813105626996555
CID-03210,Existing,49,F,0,College,Single,$120K +,Blue,35,3,2,2,5250.0,982,2462.1867244926348,1.3788727646034131,3366,51,0.5000167764350465,0.6068071653168355
CID-03211,Existing,48,F,1,Uneducated,Married,$60K - $80K,Blue,41,3,2,0,4937.0,1975,4492.448413831167,0.883389058566275,2982,86,2.135957039621311,0.6163144357829409
CID-03212,Existing,19,F,4,Graduate,Single,Unknown,Silver,38,1,1,1,3638.0,1906,2973.4544007677587,0.9896922965708531,9618,35,2.6048742768624775,0.4437124171697968
CID-03213,Existing,29,M,4,Uneducated,Married,$80K - $120K,Blue,40,1,4,7,6826.5,596,3688.0114755263608,3.4576587625887694,5028,52,2.1563080889867265,0.28034307183411217
CID-03214,Existing,44,F,3,Uneducated,Divorced,$80K - $120K,Blue,41,5,3,3,8190.0,2010,4237.094450635372,2.874321032645084,1108,56,1.592488764343031,0.6339739601519597
CID-03215,Existing,22,M,5,Graduate,Single,Less than $40K,Silver,47,3,3,2,2645.2999999999997,483,3373.41396499986,2.397249324402768,6282,56,1.8865820121969237,0.2124672538977525
CID-03216,Existing,54,M,2,Graduate,Single,$80K - $120K,Blue,34,2,4,3,8998.5,1640,5559.277440830768,1.6706952932897763,4810,10,2.302855244339629,0.32675294182441883
CID-03217,Existing,44,F,5,Graduate,Unknown,$40K - $60K,Blue,48,6,1,2,2860.0,2462,2296.936778398979,2.2679029629318967,5944,61,0.6702046624264915,0.10550249878344299
CID-03218,Existing,40,F,3,Post-Graduate,Married,$80K - $120K,Blue,37,4,0,4,4933.5,1997,1839.5450242325333,0.8088456656944328,3150,29,1.8945089370549142,0.7130222339621889
CID-03219,Existing,50,F,4,Graduate,Single,$60K - $80K,Blue,47,6,1,7,3798.0,1846,3390.9550521702245,1.133860181363251,5114,45,1.767076396654859,0.7483152679182633
CID-03220,Existing,21,F,4,Doctorate,Single,Less than $40K,Blue,39,5,0,0,3855.6,349,4060.3123533386834,1.8619159187571583,4962,59,1.5575746135436312,0.016528787395670392
CID-03221,Existing,38,M,5,Unknown,Married,$60K - $80K,Blue,48,6,1,2,4448.0,1477,4040.7218014429695,0.8186695875369416,3276,94,2.8359068431975905,0.5916154637404022
CID-03222,Existing,41,F,5,College,Married,$60K - $80K,Blue,15,4,0,3,3313.0,78,2400.165331362933,3.4640670540161085,3217,97,2.3274738563504336,0.7625139710331666
CID-03223,Existing,61,M,5,Unknown,Unknown,$120K +,Blue,40,2,2,3,6358.5,1427,3980.3643963127174,3.4030387826191792,4460,64,3.3985557998082325,0.24728572897187528
CID-03224,Existing,48,M,1,Graduate,Married,$60K - $80K,Silver,55,2,2,4,4595.0,603,3700.833305414243,1.185167719096618,6409,52,1.335858449168449,0.4745063807739383
CID-03225,Existing,61,F,2,Uneducated,Unknown,$60K - $80K,Blue,25,1,4,6,7337.0,2965,6088.4317919222985,2.0343506345824007,3551,60,1.5416436032594647,0.6791461368507965
CID-03226,Attrited,65,F,2,High School,Married,$80K - $120K,Blue,55,3,4,3,9477.0,717,5435.315893379542,0.674324957941437,8496,40,1.9464340819697517,0.38024475372031724
CID-03227,Existing,41,M,4,College,Single,$80K - $120K,Silver,56,1,1,3,3673.5,2582,1319.3656491818579,0.5700415082844156,5149,88,0.7327998313137117,0.17125796045577046
CID-03228,Existing,66,M,4,College,Married,Unknown,Blue,48,3,0,0,7031.0,2601,6313.560933988226,2.212341830702544,7427,73,1.4145731996541775,0.021230641562611507
CID-03229,Existing,27,M,3,College,Married,$40K - $60K,Blue,44,5,3,3,2576.0,-448,1345.050345116906,1.1958790364301004,3414,65,0.7934522782997432,0.12073538052284156
CID-03230,Existing,66,M,3,High School,Single,Unknown,Silver,42,1,5,2,10261.5,2536,5599.42897754681,0.5349313356427394,2960,80,0.90444242982108,0.0923440991838581
CID-03231,Existing,66,F,1,Uneducated,Single,$40K - $60K,Silver,25,1,2,3,5838.0,1729,5163.063544943201,0.9864009554596574,3798,12,2.481932587701884,0.4264042191764116
CID-03232,Existing,67,F,4,Graduate,Single,$120K +,Blue,36,2,0,4,5620.5,503,2300.21909829011,2.3115662667345243,5615,95,2.677899755863529,0.2937428348172046
CID-03233,Existing,19,F,3,Unknown,Married,$120K +,Silver,20,3,3,0,9400.5,1362,5216.066875674933,2.6985040917750562,2948,77,0.6935948165277666,0.16363493541755164
CID-03234,Existing,48,F,1,Graduate,Married,$80K - $120K,Blue,36,2,3,3,7431.0,1000,3946.047900189173,1.8481512277009253,1646,90,0.964325429661985,0.4151743944260193
CID-03235,Existing,42,M,2,High School,Single,Less than $40K,Blue,52,1,1,3,3451.7,700,3751.5979959929386,2.5940580420804333,5760,54,2.4518384586129747,0.3228139361544121
CID-03236,Existing,21,M,4,Graduate,Married,Unknown,Blue,57,3,3,3,3549.0,2118,2306.5576181280885,1.4954657521813863,1285,73,3.1540710124659945,0.10699690138471828
CID-03237,Existing,68,M,0,Unknown,Married,Unknown,Silver,36,3,0,3,5066.0,1028,4009.165030800548,1.2500117896621918,2043,31,0.8248056959200878,0.6832757221670033
CID-03238,Attrited,28,F,4,Graduate,Unknown,$40K - $60K,Blue,41,6,3,7,1661.0,2053,321.9244228945863,1.4072942805548652,4268,44,1.4553876593720227,0.46189944834257185
CID-03239,Existing,34,F,3,High School,Divorced,$60K - $80K,Blue,31,5,0,3,1000.0,1453,0.0,1.2991086677252421,3367,57,2.656659834026117,0.06602136023141418
CID-03240,Existing,61,F,4,Unknown,Divorced,$120K +,Blue,34,2,1,2,9067.5,1381,5210.245039121091,0.6142090007686848,5607,23,2.298186613656273,0.8193941463257937
CID-03241,Existing,19,M,0,College,Unknown,$60K - $80K,Blue,12,6,4,5,5130.0,300,4638.416368919967,3.259758072172666,3137,55,1.7692044994753067,0.7094527443637012
CID-03242,Existing,23,M,4,Post-Graduate,Married,$60K - $80K,Blue,26,5,2,1,4425.0,1054,2805.833861164553,2.167376006138428,7628,87,1.6661207946511953,0.14682105905277973
CID-03243,Existing,26,F,3,Graduate,Married,$80K - $120K,Silver,32,6,4,3,8695.5,-257,5024.43523483555,1.5574306221433212,4112,76,1.3529468116182426,0.08074623799187274
CID-03244,Existing,22,M,2,College,Single,$80K - $120K,Blue,41,2,2,1,7359.0,3254,3441.383843825377,1.8373537082629188,4364,95,2.4663308622539155,0.11281248237404795
CID-03245,Existing,37,F,3,College,Married,$60K - $80K,Blue,22,2,2,6,6048.0,882,4281.673976383314,1.5686732020817242,7579,12,0.8863334554979294,0.42591385100975443
CID-03246,Existing,46,M,1,Unknown,Single,$60K - $80K,Blue,37,3,1,1,6515.0,103,5050.12256388567,2.7448141599976816,6369,38,1.6401296054830647,0.2328451847274683
CID-03247,Existing,38,M,3,Unknown,Unknown,$60K - $80K,Blue,41,3,3,4,1000.0,1660,0.0,2.4415495605115343,6108,11,3.436651693673544,0.045706356650316346
CID-03248,Existing,26,F,1,Graduate,Single,$120K +,Blue,20,4,1,1,1500.0,1568,0.0,3.459543613319016,6457,56,0.6522709914863251,0.15444626771968237
CID-03249,Attrited,45,M,4,College,Single,$120K +,Blue,16,1,2,5,7705.5,1362,3419.208951837385,2.201557199904173,4406,61,1.3018182375458338,0.15254643155271674
CID-03250,Existing,25,F,1,High School,Single,$120K +,Gold,58,5,4,1,11837.25,2309,3852.6485956440924,1.013393712788129,2554,17,3.488566900205078,0.07757840823320963
CID-03251,Existing,48,F,5,High School,Divorced,$60K - $80K,Blue,58,4,1,2,4732.0,1699,3975.372726604027,2.4995445506019216,2114,17,2.635218927477067,0.20816587539945022
CID-03252,Existing,37,M,4,Unknown,Single,$120K +,Blue,45,5,1,5,4936.5,1638,1334.9613317614376,0.7316128983741126,1218,68,1.792483202387476,0.5363528766442757
CID-03253,Existing,44,F,1,College,Divorced,$40K - $60K,Blue,44,5,1,7,3111.0,1917,2883.1106678268948,1.3435985199077343,4177,30,1.9306646502804257,0.03804107828542199
CID-03254,Existing,25,M,3,High School,Single,$80K - $120K,Blue,45,1,1,4,6901.5,1265,3856.3252090521737,1.1280716144219776,3713,10,1.9249626770103605,0.11724310111504845
CID-03255,Existing,38,M,0,Graduate,Married,$60K - $80K,Blue,12,5,0,4,4040.0,242,2642.235334411158,1.3988348832923045,2321,46,2.1217542531176754,0.39823543112338117
CID-03256,Existing,45,F,4,Unknown,Married,$40K - $60K,Silver,26,5,1,3,6516.0,1721,5770.279523279649,1.3433853439315209,868,89,2.6102111280021036,0.4225019264931323
CID-03257,Existing,40,M,1,Uneducated,Married,$60K - $80K,Silver,42,6,4,3,5344.0,1499,4647.724731856081,2.6614060257649537,6274,62,0.5306023206644269,0.6297564666836664
CID-03258,Existing,23,M,0,Graduate,Unknown,$120K +,Blue,23,3,2,7,7363.5,2145,3559.9203370004716,1.9286747259510593,2448,16,1.6822552807318731,0.7058436295992929
CID-03259,Existing,20,F,1,Post-Graduate,Single,Unknown,Silver,18,3,1,4,7003.0,1688,6485.4096433396835,0.6773201096566986,1477,47,2.7549663950101886,0.004471796216938845
CID-03260,Attrited,22,M,1,Graduate,Single,$40K - $60K,Silver,56,3,4,6,6192.0,1080,5028.423594008675,2.5720887308518954,1538,16,2.2320872823360207,0.14799995891048026
CID-03261,Existing,26,F,1,Graduate,Married,$60K - $80K,Blue,44,1,4,2,5193.0,1736,4708.498874170716,1.167036350034627,5675,90,3.4924848553183208,0.39970270642960903
CID-03262,Existing,24,F,3,Post-Graduate,Married,$60K - $80K,Blue,53,3,4,4,3086.0,1844,2234.460044322064,1.9133685800005917,2028,56,1.044616847939249,0.06708981553822393
CID-03263,Existing,21,M,1,Post-Graduate,Unknown,$60K - $80K,Blue,43,4,2,6,6724.0,2197,5638.141857781715,2.3155942188101544,2978,72,1.7372262136020173,0.0859263589882721
CID-03264,Existing,56,M,0,Graduate,Married,Unknown,Blue,16,4,7,3,6186.0,3016,4931.337560326971,2.4329938418519443,4034,79,3.240146283332879,0.0017546540120888688
CID-03265,Existing,22,M,5,Graduate,Married,$60K - $80K,Blue,49,4,1,1,4111.0,452,3715.3236469699177,2.5126656056236056,3913,42,2.1249746164318095,0.5699187543593965
CID-03266,Existing,28,M,1,Unknown,Married,$120K +,Silver,16,1,0,1,8292.0,2157,4984.839707137141,2.967127326644185,2784,88,2.7052949180044488,0.2855316846725165
CID-03267,Existing,32,F,5,Graduate,Married,$80K - $120K,Blue,28,2,4,2,3885.0,431,1552.6699751826511,2.313870540632714,3694,27,1.6298219605939441,0.08821661762156185
CID-03268,Existing,51,F,2,Graduate,Married,Less than $40K,Blue,18,2,2,4,700.0,1263,0.0,2.8950223034636293,3779,15,2.460695291275283,0.7380946792592495
CID-03269,Existing,30,M,4,Doctorate,Single,$80K - $120K,Blue,36,4,0,2,9640.5,999,4629.6862084052755,1.0468300644956607,3294,53,1.101542552310574,0.8175465031537027
CID-03270,Existing,65,F,3,High School,Married,$80K - $120K,Blue,36,2,1,4,6241.5,993,2656.7289699457347,2.9114543906115604,5014,30,1.7085811853935495,0.8254096642271512
CID-03271,Existing,24,F,2,Graduate,Single,$120K +,Blue,14,5,2,3,4293.0,1353,1696.7815628304584,2.708905906331877,2726,92,0.9863552239788892,0.6560010243428991
CID-03272,Existing,57,M,2,Unknown,Married,Less than $40K,Silver,47,1,2,4,3859.1,2619,4724.759960313997,2.1965812975903236,4131,49,1.6620979546816885,0.5618061881752228
CID-03273,Existing,23,F,0,Graduate,Single,$40K - $60K,Silver,39,4,1,2,3630.0,-295,2364.0103648388094,3.2667250248537356,5196,28,1.0504920761160883,0.021239834893460645
CID-03274,Existing,56,F,0,Unknown,Married,$120K +,Silver,34,6,1,1,6879.0,857,3112.5595168684576,3.316719355378035,1848,58,1.3573838932074622,0.02504062828095634
CID-03275,Existing,67,M,5,Graduate,Married,$40K - $60K,Blue,19,4,1,2,1000.0,1447,0.0,1.7009441878154,3723,28,1.4856790933663153,0.19114777726181384
CID-03276,Existing,47,M,5,College,Single,Unknown,Silver,42,4,2,6,4834.0,1333,3860.8550624980603,2.537455729643386,2901,25,2.8302563868645714,0.8159975101657562
CID-03277,Existing,39,F,3,Graduate,Single,$60K - $80K,Blue,32,5,3,6,6799.0,-720,5249.835415643956,2.1057708035000475,7909,24,2.7696032540748123,0.743643645338741
CID-03278,Existing,42,M,3,High School,Single,Less than $40K,Blue,56,6,0,3,2845.5,1617,3278.3431297982024,1.0603583096138434,3827,50,3.1062583825844046,0.05825896257905911
CID-03279,Existing,45,M,4,Unknown,Single,$80K - $120K,Blue,46,3,2,5,8842.5,620,5114.36995536675,2.046776406832893,3548,75,1.052514008597004,0.34396919900065487
CID-03280,Existing,37,F,1,Graduate,Single,$60K - $80K,Blue,52,4,1,4,6746.0,1910,5488.09521343627,0.6075432842969102,6329,15,0.736254424472894,0.30390863546515173
CID-03281,Existing,56,F,3,Graduate,Married,$40K - $60K,Blue,52,6,2,2,5463.0,1601,4343.214714111719,0.9888044817162356,2070,26,1.4652471228664523,0.5342225878256422
CID-03282,Existing,20,M,3,Graduate,Married,Unknown,Blue,53,2,2,3,4379.9,2050,5010.572744667696,0.8884515698270402,5292,81,1.5816566148795577,0.003792646083543988
CID-03283,Attrited,22,M,5,College,Married,$40K - $60K,Blue,40,3,4,5,3434.0,1861,3039.644662001613,3.452260517590358,3628,63,3.051086248258284,0.6846149002274281
CID-03284,Attrited,18,M,1,College,Married,$40K - $60K,Blue,14,5,3,2,5458.0,965,4633.251017940585,2.7603628606375463,5282,91,1.871544298824773,0.3836723999453826
CID-03285,Existing,32,M,4,Graduate,Married,$60K - $80K,Blue,55,4,0,5,3775.0,1957,2570.8473612702082,0.8112064173116678,3321,82,1.7990911604828415,0.6504499616241032
CID-03286,Existing,43,M,0,College,Single,$120K +,Blue,36,3,3,6,6000.0,2535,2731.1418056892867,1.3527461777607026,1978,66,2.96079473950509,0.11165658019676258
CID-03287,Existing,20,M,4,Doctorate,Divorced,$40K - $60K,Blue,13,4,3,3,4214.0,1944,2632.769551779752,1.8076558159919425,3004,80,2.8999200382909915,0.1391739400713859
CID-03288,Existing,57,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,55,4,2,0,10783.5,1042,5999.73437895125,2.8234326578114954,1992,23,1.7181828067346296,0.3660581478935372
CID-03289,Attrited,58,M,0,College,Single,$120K +,Blue,52,5,4,4,9582.0,408,5062.847324515045,1.1634838284208122,3343,31,1.4273941116035305,0.6141217062391705
CID-03290,Existing,64,M,0,High School,Married,$80K - $120K,Silver,45,2,4,6,1735.5,-221,812.0842476827406,2.0359602690223593,4454,36,2.376810061300896,0.6223428372465177
CID-03291,Existing,59,M,0,High School,Single,$120K +,Blue,26,5,1,3,10768.5,502,6621.185657234216,1.9024192844583023,1781,96,2.253316165954887,0.7101312330485574
CID-03292,Attrited,51,M,4,Graduate,Single,$40K - $60K,Blue,50,5,5,3,7798.0,2936,6360.857509404585,2.149971504855029,3556,51,3.36545647656302,0.4979107444126775
CID-03293,Existing,69,M,5,College,Unknown,Less than $40K,Blue,50,2,1,1,3427.2,867,3560.0850731851215,3.19839343821079,5484,88,2.424059354497797,0.014261868326547116
CID-03294,Existing,22,F,1,High School,Divorced,$40K - $60K,Blue,51,3,1,0,5348.0,1995,5097.581164608701,1.7832276000858824,6258,94,0.8368860832137868,0.2959637454033693
